"Labor force data by county, not seasonally adjusted, February 2020-March 2021(p)",,,,,,,,
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
                 ,  FIPS Codes  ,                                          ,           ,  Civilian  ,            ,     Unemployed,,
 CN2714100000000 ,27,141," Sherburne County, MN                     ",   Feb-20  ,"53,987","51,635","2,352",4.4
 CN2714300000000 ,27,143," Sibley County, MN                        ",   Feb-20  ,"8,392","7,977",415,4.9
 CN2714500000000 ,27,145," Stearns County, MN                       ",   Feb-20  ,"91,276","87,759","3,517",3.9
 CN2714700000000 ,27,147," Steele County, MN                        ",   Feb-20  ,"20,361","19,609",752,3.7
 CN2714900000000 ,27,149," Stevens County, MN                       ",   Feb-20  ,"5,249","5,079",170,3.2
 CN2715100000000 ,27,151," Swift County, MN                         ",   Feb-20  ,"4,708","4,448",260,5.5
 CN2715300000000 ,27,153," Todd County, MN                          ",   Feb-20  ,"13,623","12,892",731,5.4
 CN2715500000000 ,27,155," Traverse County, MN                      ",   Feb-20  ,"1,651","1,561",90,5.5
 CN2715700000000 ,27,157," Wabasha County, MN                       ",   Feb-20  ,"12,240","11,704",536,4.4
 CN2715900000000 ,27,159," Wadena County, MN                        ",   Feb-20  ,"6,049","5,538",511,8.4
 CN2716100000000 ,27,161," Waseca County, MN                        ",   Feb-20  ,"8,866","8,413",453,5.1
 CN2716300000000 ,27,163," Washington County, MN                    ",   Feb-20  ,"146,568","142,238","4,330",3
 CN2716500000000 ,27,165," Watonwan County, MN                      ",   Feb-20  ,"6,361","6,077",284,4.5
 CN2716700000000 ,27,167," Wilkin County, MN                        ",   Feb-20  ,"3,346","3,227",119,3.6
 CN2716900000000 ,27,169," Winona County, MN                        ",   Feb-20  ,"28,419","27,534",885,3.1
 CN2717100000000 ,27,171," Wright County, MN                        ",   Feb-20  ,"77,908","74,817","3,091",4
 CN2717300000000 ,27,173," Yellow Medicine County, MN               ",   Feb-20  ,"5,139","4,907",232,4.5
 CN2800100000000 ,28,1," Adams County, MS                         ",   Feb-20  ,"10,822","10,072",750,6.9
 CN2800300000000 ,28,3," Alcorn County, MS                        ",   Feb-20  ,"16,172","15,431",741,4.6
 CN2800500000000 ,28,5," Amite County, MS                         ",   Feb-20  ,"4,420","4,115",305,6.9
 CN2800700000000 ,28,7," Attala County, MS                        ",   Feb-20  ,"6,981","6,527",454,6.5
 CN2800900000000 ,28,9," Benton County, MS                        ",   Feb-20  ,"3,048","2,862",186,6.1
 CN2801100000000 ,28,11," Bolivar County, MS                       ",   Feb-20  ,"11,760","10,876",884,7.5
 CN2801300000000 ,28,13," Calhoun County, MS                       ",   Feb-20  ,"5,528","5,212",316,5.7
 CN2801500000000 ,28,15," Carroll County, MS                       ",   Feb-20  ,"3,554","3,330",224,6.3
 CN2801700000000 ,28,17," Chickasaw County, MS                     ",   Feb-20  ,"6,818","6,467",351,5.1
 CN2801900000000 ,28,19," Choctaw County, MS                       ",   Feb-20  ,"3,686","3,482",204,5.5
 CN2802100000000 ,28,21," Claiborne County, MS                     ",   Feb-20  ,"3,116","2,811",305,9.8
 CN2802300000000 ,28,23," Clarke County, MS                        ",   Feb-20  ,"5,968","5,594",374,6.3
 CN2802500000000 ,28,25," Clay County, MS                          ",   Feb-20  ,"7,795","7,226",569,7.3
 CN2802700000000 ,28,27," Coahoma County, MS                       ",   Feb-20  ,"8,336","7,646",690,8.3
 CN2802900000000 ,28,29," Copiah County, MS                        ",   Feb-20  ,"11,000","10,314",686,6.2
 CN2803100000000 ,28,31," Covington County, MS                     ",   Feb-20  ,"8,265","7,856",409,4.9
 CN2803300000000 ,28,33," DeSoto County, MS                        ",   Feb-20  ,"92,682","88,784","3,898",4.2
 CN2803500000000 ,28,35," Forrest County, MS                       ",   Feb-20  ,"33,081","31,424","1,657",5
 CN2803700000000 ,28,37," Franklin County, MS                      ",   Feb-20  ,"2,746","2,563",183,6.7
 CN2803900000000 ,28,39," George County, MS                        ",   Feb-20  ,"8,934","8,283",651,7.3
 CN2804100000000 ,28,41," Greene County, MS                        ",   Feb-20  ,"4,317","3,963",354,8.2
 CN2804300000000 ,28,43," Grenada County, MS                       ",   Feb-20  ,"9,477","9,019",458,4.8
 CN2804500000000 ,28,45," Hancock County, MS                       ",   Feb-20  ,"19,019","17,991","1,028",5.4
 CN2804700000000 ,28,47," Harrison County, MS                      ",   Feb-20  ,"87,622","83,097","4,525",5.2
 CN2804900000000 ,28,49," Hinds County, MS                         ",   Feb-20  ,"104,874","99,410","5,464",5.2
 CN2805100000000 ,28,51," Holmes County, MS                        ",   Feb-20  ,"5,580","5,046",534,9.6
 CN2805300000000 ,28,53," Humphreys County, MS                     ",   Feb-20  ,"2,182","1,919",263,12.1
 CN2805500000000 ,28,55," Issaquena County, MS                     ",   Feb-20  ,345,313,32,9.3
 CN2805700000000 ,28,57," Itawamba County, MS                      ",   Feb-20  ,"10,642","10,116",526,4.9
 CN2805900000000 ,28,59," Jackson County, MS                       ",   Feb-20  ,"58,912","55,472","3,440",5.8
 CN2806100000000 ,28,61," Jasper County, MS                        ",   Feb-20  ,"6,243","5,750",493,7.9
 CN2806300000000 ,28,63," Jefferson County, MS                     ",   Feb-20  ,"1,965","1,685",280,14.2
 CN2806500000000 ,28,65," Jefferson Davis County, MS               ",   Feb-20  ,"4,022","3,732",290,7.2
 CN2806700000000 ,28,67," Jones County, MS                         ",   Feb-20  ,"26,166","24,762","1,404",5.4
 CN2806900000000 ,28,69," Kemper County, MS                        ",   Feb-20  ,"3,457","3,201",256,7.4
 CN2807100000000 ,28,71," Lafayette County, MS                     ",   Feb-20  ,"28,551","27,442","1,109",3.9
 CN2807300000000 ,28,73," Lamar County, MS                         ",   Feb-20  ,"31,103","29,771","1,332",4.3
 CN2807500000000 ,28,75," Lauderdale County, MS                    ",   Feb-20  ,"30,419","28,709","1,710",5.6
 CN2807700000000 ,28,77," Lawrence County, MS                      ",   Feb-20  ,"4,603","4,320",283,6.1
 CN2807900000000 ,28,79," Leake County, MS                         ",   Feb-20  ,"8,006","7,565",441,5.5
 CN2808100000000 ,28,81," Lee County, MS                           ",   Feb-20  ,"41,871","40,099","1,772",4.2
 CN2808300000000 ,28,83," Leflore County, MS                       ",   Feb-20  ,"9,952","9,201",751,7.5
 CN2808500000000 ,28,85," Lincoln County, MS                       ",   Feb-20  ,"14,499","13,723",776,5.4
 CN2808700000000 ,28,87," Lowndes County, MS                       ",   Feb-20  ,"25,876","24,553","1,323",5.1
 CN2808900000000 ,28,89," Madison County, MS                       ",   Feb-20  ,"53,711","51,407","2,304",4.3
 CN2809100000000 ,28,91," Marion County, MS                        ",   Feb-20  ,"10,074","9,512",562,5.6
 CN2809300000000 ,28,93," Marshall County, MS                      ",   Feb-20  ,"14,401","13,622",779,5.4
 CN2809500000000 ,28,95," Monroe County, MS                        ",   Feb-20  ,"15,736","14,918",818,5.2
 CN2809700000000 ,28,97," Montgomery County, MS                    ",   Feb-20  ,"3,953","3,715",238,6
 CN2809900000000 ,28,99," Neshoba County, MS                       ",   Feb-20  ,"10,189","9,581",608,6
 CN2810100000000 ,28,101," Newton County, MS                        ",   Feb-20  ,"8,269","7,807",462,5.6
 CN2810300000000 ,28,103," Noxubee County, MS                       ",   Feb-20  ,"3,746","3,476",270,7.2
 CN2810500000000 ,28,105," Oktibbeha County, MS                     ",   Feb-20  ,"22,930","21,795","1,135",4.9
 CN2810700000000 ,28,107," Panola County, MS                        ",   Feb-20  ,"12,586","11,783",803,6.4
 CN2810900000000 ,28,109," Pearl River County, MS                   ",   Feb-20  ,"23,931","22,712","1,219",5.1
 CN2811100000000 ,28,111," Perry County, MS                         ",   Feb-20  ,"4,309","4,006",303,7
 CN2811300000000 ,28,113," Pike County, MS                          ",   Feb-20  ,"14,443","13,568",875,6.1
 CN2811500000000 ,28,115," Pontotoc County, MS                      ",   Feb-20  ,"15,142","14,508",634,4.2
 CN2811700000000 ,28,117," Prentiss County, MS                      ",   Feb-20  ,"11,363","10,808",555,4.9
 CN2811900000000 ,28,119," Quitman County, MS                       ",   Feb-20  ,"2,288","2,106",182,8
 CN2812100000000 ,28,121," Rankin County, MS                        ",   Feb-20  ,"77,006","73,967","3,039",3.9
 CN2812300000000 ,28,123," Scott County, MS                         ",   Feb-20  ,"12,532","11,972",560,4.5
 CN2812500000000 ,28,125," Sharkey County, MS                       ",   Feb-20  ,"1,499","1,352",147,9.8
 CN2812700000000 ,28,127," Simpson County, MS                       ",   Feb-20  ,"10,761","10,177",584,5.4
 CN2812900000000 ,28,129," Smith County, MS                         ",   Feb-20  ,"6,832","6,452",380,5.6
 CN2813100000000 ,28,131," Stone County, MS                         ",   Feb-20  ,"7,075","6,681",394,5.6
 CN2813300000000 ,28,133," Sunflower County, MS                     ",   Feb-20  ,"7,454","6,740",714,9.6
 CN2813500000000 ,28,135," Tallahatchie County, MS                  ",   Feb-20  ,"5,258","4,910",348,6.6
 CN2813700000000 ,28,137," Tate County, MS                          ",   Feb-20  ,"12,163","11,509",654,5.4
 CN2813900000000 ,28,139," Tippah County, MS                        ",   Feb-20  ,"9,539","9,093",446,4.7
 CN2814100000000 ,28,141," Tishomingo County, MS                    ",   Feb-20  ,"8,617","8,123",494,5.7
 CN2814300000000 ,28,143," Tunica County, MS                        ",   Feb-20  ,"4,300","4,033",267,6.2
 CN2814500000000 ,28,145," Union County, MS                         ",   Feb-20  ,"14,575","13,971",604,4.1
 CN2814700000000 ,28,147," Walthall County, MS                      ",   Feb-20  ,"5,027","4,705",322,6.4
 CN2814900000000 ,28,149," Warren County, MS                        ",   Feb-20  ,"20,643","19,563","1,080",5.2
 CN2815100000000 ,28,151," Washington County, MS                    ",   Feb-20  ,"15,989","14,711","1,278",8
 CN2815300000000 ,28,153," Wayne County, MS                         ",   Feb-20  ,"7,431","6,959",472,6.4
 CN2815500000000 ,28,155," Webster County, MS                       ",   Feb-20  ,"3,961","3,727",234,5.9
 CN2815700000000 ,28,157," Wilkinson County, MS                     ",   Feb-20  ,"2,775","2,503",272,9.8
 CN2815900000000 ,28,159," Winston County, MS                       ",   Feb-20  ,"7,497","7,055",442,5.9
 CN2816100000000 ,28,161," Yalobusha County, MS                     ",   Feb-20  ,"5,068","4,807",261,5.1
 CN2816300000000 ,28,163," Yazoo County, MS                         ",   Feb-20  ,"9,905","9,278",627,6.3
 CN2900100000000 ,29,1," Adair County, MO                         ",   Feb-20  ,"10,348","9,954",394,3.8
 CN2900300000000 ,29,3," Andrew County, MO                        ",   Feb-20  ,"9,888","9,553",335,3.4
 CN2900500000000 ,29,5," Atchison County, MO                      ",   Feb-20  ,"2,797","2,708",89,3.2
 CN2900700000000 ,29,7," Audrain County, MO                       ",   Feb-20  ,"10,584","10,136",448,4.2
 CN2900900000000 ,29,9," Barry County, MO                         ",   Feb-20  ,"15,836","15,133",703,4.4
 CN2901100000000 ,29,11," Barton County, MO                        ",   Feb-20  ,"5,174","4,997",177,3.4
 CN2901300000000 ,29,13," Bates County, MO                         ",   Feb-20  ,"7,874","7,511",363,4.6
 CN2901500000000 ,29,15," Benton County, MO                        ",   Feb-20  ,"7,203","6,723",480,6.7
 CN2901700000000 ,29,17," Bollinger County, MO                     ",   Feb-20  ,"5,506","5,259",247,4.5
 CN2901900000000 ,29,19," Boone County, MO                         ",   Feb-20  ,"99,376","96,780","2,596",2.6
 CN2902100000000 ,29,21," Buchanan County, MO                      ",   Feb-20  ,"44,212","42,576","1,636",3.7
 CN2902300000000 ,29,23," Butler County, MO                        ",   Feb-20  ,"18,207","17,357",850,4.7
 CN2902500000000 ,29,25," Caldwell County, MO                      ",   Feb-20  ,"4,365","4,188",177,4.1
 CN2902700000000 ,29,27," Callaway County, MO                      ",   Feb-20  ,"21,461","20,699",762,3.6
 CN2902900000000 ,29,29," Camden County, MO                        ",   Feb-20  ,"18,119","16,849","1,270",7
 CN2903100000000 ,29,31," Cape Girardeau County, MO                ",   Feb-20  ,"40,899","39,524","1,375",3.4
 CN2903300000000 ,29,33," Carroll County, MO                       ",   Feb-20  ,"4,645","4,467",178,3.8
 CN2903500000000 ,29,35," Carter County, MO                        ",   Feb-20  ,"2,495","2,325",170,6.8
 CN2903700000000 ,29,37," Cass County, MO                          ",   Feb-20  ,"55,214","53,232","1,982",3.6
 CN2903900000000 ,29,39," Cedar County, MO                         ",   Feb-20  ,"5,774","5,542",232,4
 CN2904100000000 ,29,41," Chariton County, MO                      ",   Feb-20  ,"3,803","3,652",151,4
 CN2904300000000 ,29,43," Christian County, MO                     ",   Feb-20  ,"45,974","44,456","1,518",3.3
 CN2904500000000 ,29,45," Clark County, MO                         ",   Feb-20  ,"3,193","3,037",156,4.9
 CN2904700000000 ,29,47," Clay County, MO                          ",   Feb-20  ,"137,607","133,363","4,244",3.1
 CN2904900000000 ,29,49," Clinton County, MO                       ",   Feb-20  ,"10,683","10,309",374,3.5
 CN2905100000000 ,29,51," Cole County, MO                          ",   Feb-20  ,"39,156","37,985","1,171",3
 CN2905300000000 ,29,53," Cooper County, MO                        ",   Feb-20  ,"7,354","7,039",315,4.3
 CN2905500000000 ,29,55," Crawford County, MO                      ",   Feb-20  ,"10,929","10,396",533,4.9
 CN2905700000000 ,29,57," Dade County, MO                          ",   Feb-20  ,"3,605","3,469",136,3.8
 CN2905900000000 ,29,59," Dallas County, MO                        ",   Feb-20  ,"7,156","6,819",337,4.7
 CN2906100000000 ,29,61," Daviess County, MO                       ",   Feb-20  ,"4,177","4,017",160,3.8
 CN2906300000000 ,29,63," DeKalb County, MO                        ",   Feb-20  ,"4,872","4,670",202,4.1
 CN2906500000000 ,29,65," Dent County, MO                          ",   Feb-20  ,"6,390","6,129",261,4.1
 CN2906700000000 ,29,67," Douglas County, MO                       ",   Feb-20  ,"4,992","4,738",254,5.1
 CN2906900000000 ,29,69," Dunklin County, MO                       ",   Feb-20  ,"11,674","10,858",816,7
 CN2907100000000 ,29,71," Franklin County, MO                      ",   Feb-20  ,"53,982","51,837","2,145",4
 CN2907300000000 ,29,73," Gasconade County, MO                     ",   Feb-20  ,"7,666","7,382",284,3.7
 CN2907500000000 ,29,75," Gentry County, MO                        ",   Feb-20  ,"3,459","3,356",103,3
 CN2907700000000 ,29,77," Greene County, MO                        ",   Feb-20  ,"152,291","147,479","4,812",3.2
 CN2907900000000 ,29,79," Grundy County, MO                        ",   Feb-20  ,"4,446","4,284",162,3.6
 CN2908100000000 ,29,81," Harrison County, MO                      ",   Feb-20  ,"3,878","3,676",202,5.2
 CN2908300000000 ,29,83," Henry County, MO                         ",   Feb-20  ,"9,748","9,300",448,4.6
 CN2908500000000 ,29,85," Hickory County, MO                       ",   Feb-20  ,"3,808","3,606",202,5.3
 CN2908700000000 ,29,87," Holt County, MO                          ",   Feb-20  ,"2,607","2,525",82,3.1
 CN2908900000000 ,29,89," Howard County, MO                        ",   Feb-20  ,"4,960","4,788",172,3.5
 CN2909100000000 ,29,91," Howell County, MO                        ",   Feb-20  ,"16,414","15,722",692,4.2
 CN2909300000000 ,29,93," Iron County, MO                          ",   Feb-20  ,"3,531","3,322",209,5.9
 CN2909500000000 ,29,95," Jackson County, MO                       ",   Feb-20  ,"362,939","348,066","14,873",4.1
 CN2909700000000 ,29,97," Jasper County, MO                        ",   Feb-20  ,"56,208","54,332","1,876",3.3
 CN2909900000000 ,29,99," Jefferson County, MO                     ",   Feb-20  ,"119,823","115,194","4,629",3.9
 CN2910100000000 ,29,101," Johnson County, MO                       ",   Feb-20  ,"23,544","22,487","1,057",4.5
 CN2910300000000 ,29,103," Knox County, MO                          ",   Feb-20  ,"1,819","1,728",91,5
 CN2910500000000 ,29,105," Laclede County, MO                       ",   Feb-20  ,"16,956","15,894","1,062",6.3
 CN2910700000000 ,29,107," Lafayette County, MO                     ",   Feb-20  ,"16,960","16,292",668,3.9
 CN2910900000000 ,29,109," Lawrence County, MO                      ",   Feb-20  ,"17,861","17,079",782,4.4
 CN2911100000000 ,29,111," Lewis County, MO                         ",   Feb-20  ,"5,039","4,849",190,3.8
 CN2911300000000 ,29,113," Lincoln County, MO                       ",   Feb-20  ,"29,384","28,238","1,146",3.9
 CN2911500000000 ,29,115," Linn County, MO                          ",   Feb-20  ,"5,126","4,840",286,5.6
 CN2911700000000 ,29,117," Livingston County, MO                    ",   Feb-20  ,"7,382","7,143",239,3.2
 CN2911900000000 ,29,119," McDonald County, MO                      ",   Feb-20  ,"10,735","10,366",369,3.4
 CN2912100000000 ,29,121," Macon County, MO                         ",   Feb-20  ,"7,522","7,201",321,4.3
 CN2912300000000 ,29,123," Madison County, MO                       ",   Feb-20  ,"5,529","5,272",257,4.6
 CN2912500000000 ,29,125," Maries County, MO                        ",   Feb-20  ,"3,906","3,756",150,3.8
 CN2912700000000 ,29,127," Marion County, MO                        ",   Feb-20  ,"14,295","13,787",508,3.6
 CN2912900000000 ,29,129," Mercer County, MO                        ",   Feb-20  ,"1,918","1,836",82,4.3
 CN2913100000000 ,29,131," Miller County, MO                        ",   Feb-20  ,"12,194","11,484",710,5.8
 CN2913300000000 ,29,133," Mississippi County, MO                   ",   Feb-20  ,"5,796","5,532",264,4.6
 CN2913500000000 ,29,135," Moniteau County, MO                      ",   Feb-20  ,"7,412","7,136",276,3.7
 CN2913700000000 ,29,137," Monroe County, MO                        ",   Feb-20  ,"3,817","3,618",199,5.2
 CN2913900000000 ,29,139," Montgomery County, MO                    ",   Feb-20  ,"5,814","5,589",225,3.9
 CN2914100000000 ,29,141," Morgan County, MO                        ",   Feb-20  ,"8,146","7,648",498,6.1
 CN2914300000000 ,29,143," New Madrid County, MO                    ",   Feb-20  ,"8,415","7,993",422,5
 CN2914500000000 ,29,145," Newton County, MO                        ",   Feb-20  ,"26,768","25,800",968,3.6
 CN2914700000000 ,29,147," Nodaway County, MO                       ",   Feb-20  ,"11,045","10,671",374,3.4
 CN2914900000000 ,29,149," Oregon County, MO                        ",   Feb-20  ,"3,975","3,770",205,5.2
 CN2915100000000 ,29,151," Osage County, MO                         ",   Feb-20  ,"7,103","6,916",187,2.6
 CN2915300000000 ,29,153," Ozark County, MO                         ",   Feb-20  ,"3,397","3,187",210,6.2
 CN2915500000000 ,29,155," Pemiscot County, MO                      ",   Feb-20  ,"6,320","5,936",384,6.1
 CN2915700000000 ,29,157," Perry County, MO                         ",   Feb-20  ,"9,917","9,601",316,3.2
 CN2915900000000 ,29,159," Pettis County, MO                        ",   Feb-20  ,"21,411","20,038","1,373",6.4
 CN2916100000000 ,29,161," Phelps County, MO                        ",   Feb-20  ,"19,906","19,122",784,3.9
 CN2916300000000 ,29,163," Pike County, MO                          ",   Feb-20  ,"7,625","7,317",308,4
 CN2916500000000 ,29,165," Platte County, MO                        ",   Feb-20  ,"59,167","57,494","1,673",2.8
 CN2916700000000 ,29,167," Polk County, MO                          ",   Feb-20  ,"14,604","14,092",512,3.5
 CN2916900000000 ,29,169," Pulaski County, MO                       ",   Feb-20  ,"14,813","14,189",624,4.2
 CN2917100000000 ,29,171," Putnam County, MO                        ",   Feb-20  ,"2,296","2,205",91,4
 CN2917300000000 ,29,173," Ralls County, MO                         ",   Feb-20  ,"5,658","5,441",217,3.8
 CN2917500000000 ,29,175," Randolph County, MO                      ",   Feb-20  ,"10,321","9,860",461,4.5
 CN2917700000000 ,29,177," Ray County, MO                           ",   Feb-20  ,"11,044","10,612",432,3.9
 CN2917900000000 ,29,179," Reynolds County, MO                      ",   Feb-20  ,"2,943","2,808",135,4.6
 CN2918100000000 ,29,181," Ripley County, MO                        ",   Feb-20  ,"4,962","4,708",254,5.1
 CN2918300000000 ,29,183," St. Charles County, MO                   ",   Feb-20  ,"230,140","223,428","6,712",2.9
 CN2918500000000 ,29,185," St. Clair County, MO                     ",   Feb-20  ,"3,684","3,494",190,5.2
 CN2918600000000 ,29,186," Ste. Genevieve County, MO                ",   Feb-20  ,"9,212","8,835",377,4.1
 CN2918700000000 ,29,187," St. Francois County, MO                  ",   Feb-20  ,"26,643","25,255","1,388",5.2
 CN2918900000000 ,29,189," St. Louis County, MO                     ",   Feb-20  ,"534,435","516,676","17,759",3.3
 CN2919500000000 ,29,195," Saline County, MO                        ",   Feb-20  ,"10,965","10,514",451,4.1
 CN2919700000000 ,29,197," Schuyler County, MO                      ",   Feb-20  ,"2,010","1,909",101,5
 CN2919900000000 ,29,199," Scotland County, MO                      ",   Feb-20  ,"2,372","2,296",76,3.2
 CN2920100000000 ,29,201," Scott County, MO                         ",   Feb-20  ,"20,036","19,200",836,4.2
 CN2920300000000 ,29,203," Shannon County, MO                       ",   Feb-20  ,"3,318","3,113",205,6.2
 CN2920500000000 ,29,205," Shelby County, MO                        ",   Feb-20  ,"3,108","2,965",143,4.6
 CN2920700000000 ,29,207," Stoddard County, MO                      ",   Feb-20  ,"13,385","12,675",710,5.3
 CN2920900000000 ,29,209," Stone County, MO                         ",   Feb-20  ,"13,094","11,635","1,459",11.1
 CN2921100000000 ,29,211," Sullivan County, MO                      ",   Feb-20  ,"2,830","2,699",131,4.6
 CN2921300000000 ,29,213," Taney County, MO                         ",   Feb-20  ,"25,709","22,423","3,286",12.8
 CN2921500000000 ,29,215," Texas County, MO                         ",   Feb-20  ,"9,006","8,550",456,5.1
 CN2921700000000 ,29,217," Vernon County, MO                        ",   Feb-20  ,"9,538","9,176",362,3.8
 CN2921900000000 ,29,219," Warren County, MO                        ",   Feb-20  ,"18,681","17,988",693,3.7
 CN2922100000000 ,29,221," Washington County, MO                    ",   Feb-20  ,"10,415","9,769",646,6.2
 CN2922300000000 ,29,223," Wayne County, MO                         ",   Feb-20  ,"5,139","4,870",269,5.2
 CN2922500000000 ,29,225," Webster County, MO                       ",   Feb-20  ,"17,614","16,906",708,4
 CN2922700000000 ,29,227," Worth County, MO                         ",   Feb-20  ,"1,171","1,141",30,2.6
 CN2922900000000 ,29,229," Wright County, MO                        ",   Feb-20  ,"7,382","6,966",416,5.6
 CN2951000000000 ,29,510," St. Louis city, MO                       ",   Feb-20  ,"152,634","146,363","6,271",4.1
 CN3000100000000 ,30,1," Beaverhead County, MT                    ",   Feb-20  ,"5,097","4,921",176,3.5
 CN3000300000000 ,30,3," Big Horn County, MT                      ",   Feb-20  ,"4,995","4,645",350,7
 CN3000500000000 ,30,5," Blaine County, MT                        ",   Feb-20  ,"2,339","2,231",108,4.6
 CN3000700000000 ,30,7," Broadwater County, MT                    ",   Feb-20  ,"2,623","2,491",132,5
 CN3000900000000 ,30,9," Carbon County, MT                        ",   Feb-20  ,"5,605","5,352",253,4.5
 CN3001100000000 ,30,11," Carter County, MT                        ",   Feb-20  ,671,657,14,2.1
 CN3001300000000 ,30,13," Cascade County, MT                       ",   Feb-20  ,"38,493","37,050","1,443",3.7
 CN3001500000000 ,30,15," Chouteau County, MT                      ",   Feb-20  ,"2,521","2,439",82,3.3
 CN3001700000000 ,30,17," Custer County, MT                        ",   Feb-20  ,"6,281","6,024",257,4.1
 CN3001900000000 ,30,19," Daniels County, MT                       ",   Feb-20  ,899,873,26,2.9
 CN3002100000000 ,30,21," Dawson County, MT                        ",   Feb-20  ,"4,648","4,511",137,2.9
 CN3002300000000 ,30,23," Deer Lodge County, MT                    ",   Feb-20  ,"5,043","4,848",195,3.9
 CN3002500000000 ,30,25," Fallon County, MT                        ",   Feb-20  ,"1,704","1,669",35,2.1
 CN3002700000000 ,30,27," Fergus County, MT                        ",   Feb-20  ,"5,778","5,496",282,4.9
 CN3002900000000 ,30,29," Flathead County, MT                      ",   Feb-20  ,"48,739","45,726","3,013",6.2
 CN3003100000000 ,30,31," Gallatin County, MT                      ",   Feb-20  ,"70,453","68,675","1,778",2.5
 CN3003300000000 ,30,33," Garfield County, MT                      ",   Feb-20  ,751,729,22,2.9
 CN3003500000000 ,30,35," Glacier County, MT                       ",   Feb-20  ,"5,582","5,132",450,8.1
 CN3003700000000 ,30,37," Golden Valley County, MT                 ",   Feb-20  ,373,354,19,5.1
 CN3003900000000 ,30,39," Granite County, MT                       ",   Feb-20  ,"1,703","1,581",122,7.2
 CN3004100000000 ,30,41," Hill County, MT                          ",   Feb-20  ,"7,743","7,469",274,3.5
 CN3004300000000 ,30,43," Jefferson County, MT                     ",   Feb-20  ,"5,812","5,579",233,4
 CN3004500000000 ,30,45," Judith Basin County, MT                  ",   Feb-20  ,"1,055","1,013",42,4
 CN3004700000000 ,30,47," Lake County, MT                          ",   Feb-20  ,"13,586","12,846",740,5.4
 CN3004900000000 ,30,49," Lewis and Clark County, MT               ",   Feb-20  ,"36,481","35,181","1,300",3.6
 CN3005100000000 ,30,51," Liberty County, MT                       ",   Feb-20  ,976,949,27,2.8
 CN3005300000000 ,30,53," Lincoln County, MT                       ",   Feb-20  ,"8,055","7,260",795,9.9
 CN3005500000000 ,30,55," McCone County, MT                        ",   Feb-20  ,953,934,19,2
 CN3005700000000 ,30,57," Madison County, MT                       ",   Feb-20  ,"5,284","5,079",205,3.9
 CN3005900000000 ,30,59," Meagher County, MT                       ",   Feb-20  ,"1,032",994,38,3.7
 CN3006100000000 ,30,61," Mineral County, MT                       ",   Feb-20  ,"1,743","1,557",186,10.7
 CN3006300000000 ,30,63," Missoula County, MT                      ",   Feb-20  ,"65,224","62,618","2,606",4
 CN3006500000000 ,30,65," Musselshell County, MT                   ",   Feb-20  ,"2,365","2,235",130,5.5
 CN3006700000000 ,30,67," Park County, MT                          ",   Feb-20  ,"8,828","8,430",398,4.5
 CN3006900000000 ,30,69," Petroleum County, MT                     ",   Feb-20  ,276,262,14,5.1
 CN3007100000000 ,30,71," Phillips County, MT                      ",   Feb-20  ,"1,900","1,814",86,4.5
 CN3007300000000 ,30,73," Pondera County, MT                       ",   Feb-20  ,"2,691","2,600",91,3.4
 CN3007500000000 ,30,75," Powder River County, MT                  ",   Feb-20  ,963,935,28,2.9
 CN3007700000000 ,30,77," Powell County, MT                        ",   Feb-20  ,"2,834","2,710",124,4.4
 CN3007900000000 ,30,79," Prairie County, MT                       ",   Feb-20  ,463,437,26,5.6
 CN3008100000000 ,30,81," Ravalli County, MT                       ",   Feb-20  ,"20,634","19,599","1,035",5
 CN3008300000000 ,30,83," Richland County, MT                      ",   Feb-20  ,"5,908","5,726",182,3.1
 CN3008500000000 ,30,85," Roosevelt County, MT                     ",   Feb-20  ,"4,501","4,278",223,5
 CN3008700000000 ,30,87," Rosebud County, MT                       ",   Feb-20  ,"3,769","3,582",187,5
 CN3008900000000 ,30,89," Sanders County, MT                       ",   Feb-20  ,"5,011","4,620",391,7.8
 CN3009100000000 ,30,91," Sheridan County, MT                      ",   Feb-20  ,"1,792","1,745",47,2.6
 CN3009300000000 ,30,93," Silver Bow County, MT                    ",   Feb-20  ,"17,364","16,574",790,4.5
 CN3009500000000 ,30,95," Stillwater County, MT                    ",   Feb-20  ,"5,397","5,211",186,3.4
 CN3009700000000 ,30,97," Sweet Grass County, MT                   ",   Feb-20  ,"1,819","1,765",54,3
 CN3009900000000 ,30,99," Teton County, MT                         ",   Feb-20  ,"2,792","2,675",117,4.2
 CN3010100000000 ,30,101," Toole County, MT                         ",   Feb-20  ,"2,095","2,026",69,3.3
 CN3010300000000 ,30,103," Treasure County, MT                      ",   Feb-20  ,342,334,8,2.3
 CN3010500000000 ,30,105," Valley County, MT                        ",   Feb-20  ,"4,054","3,898",156,3.8
 CN3010700000000 ,30,107," Wheatland County, MT                     ",   Feb-20  ,756,718,38,5
 CN3010900000000 ,30,109," Wibaux County, MT                        ",   Feb-20  ,443,430,13,2.9
 CN3011100000000 ,30,111," Yellowstone County, MT                   ",   Feb-20  ,"83,609","80,568","3,041",3.6
 CN3100100000000 ,31,1," Adams County, NE                         ",   Feb-20  ,"16,859","16,303",556,3.3
 CN3100300000000 ,31,3," Antelope County, NE                      ",   Feb-20  ,"3,879","3,782",97,2.5
