"Labor force data by county, not seasonally adjusted, February 2021-March 2022(p)",,,,,,,,
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
                 ,  FIPS Codes  ,                                          ,           ,  Civilian  ,            ,     Unemployed,,
  LAUS Area Code ,--------------,                Area Title                ,   Period  ,    Labor   ,  Employed  ,--------------------,,
                 , State, County,                                          ,           ,    Force   ,            ,   Level  ,   Rate
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
 CN1902100000000 ,19,21," Buena Vista County, IA                   ",   Mar-21  ,"11,751","11,354",397,3.4
 CN1902300000000 ,19,23," Butler County, IA                        ",   Mar-21  ,"7,788","7,420",368,4.7
 CN1902500000000 ,19,25," Calhoun County, IA                       ",   Mar-21  ,"4,022","3,857",165,4.1
 CN1902700000000 ,19,27," Carroll County, IA                       ",   Mar-21  ,"10,439","10,095",344,3.3
 CN1902900000000 ,19,29," Cass County, IA                          ",   Mar-21  ,"6,730","6,426",304,4.5
 CN1903100000000 ,19,31," Cedar County, IA                         ",   Mar-21  ,"10,345","9,881",464,4.5
 CN1903300000000 ,19,33," Cerro Gordo County, IA                   ",   Mar-21  ,"22,753","21,689","1,064",4.7
 CN1903500000000 ,19,35," Cherokee County, IA                      ",   Mar-21  ,"6,144","5,879",265,4.3
 CN1903700000000 ,19,37," Chickasaw County, IA                     ",   Mar-21  ,"6,301","6,027",274,4.3
 CN1903900000000 ,19,39," Clarke County, IA                        ",   Mar-21  ,"4,862","4,612",250,5.1
 CN1904100000000 ,19,41," Clay County, IA                          ",   Mar-21  ,"8,415","8,064",351,4.2
 CN1904300000000 ,19,43," Clayton County, IA                       ",   Mar-21  ,"9,622","8,933",689,7.2
 CN1904500000000 ,19,45," Clinton County, IA                       ",   Mar-21  ,"21,942","20,646","1,296",5.9
 CN1904700000000 ,19,47," Crawford County, IA                      ",   Mar-21  ,"7,903","7,410",493,6.2
 CN1904900000000 ,19,49," Dallas County, IA                        ",   Mar-21  ,"51,222","49,596","1,626",3.2
 CN1905100000000 ,19,51," Davis County, IA                         ",   Mar-21  ,"4,133","3,981",152,3.7
 CN1905300000000 ,19,53," Decatur County, IA                       ",   Mar-21  ,"4,365","4,210",155,3.6
 CN1905500000000 ,19,55," Delaware County, IA                      ",   Mar-21  ,"10,236","9,810",426,4.2
 CN1905700000000 ,19,57," Des Moines County, IA                    ",   Mar-21  ,"18,316","17,121","1,195",6.5
 CN1905900000000 ,19,59," Dickinson County, IA                     ",   Mar-21  ,"9,340","8,854",486,5.2
 CN1906100000000 ,19,61," Dubuque County, IA                       ",   Mar-21  ,"54,784","51,942","2,842",5.2
 CN1906300000000 ,19,63," Emmet County, IA                         ",   Mar-21  ,"4,894","4,672",222,4.5
 CN1906500000000 ,19,65," Fayette County, IA                       ",   Mar-21  ,"10,290","9,720",570,5.5
 CN1906700000000 ,19,67," Floyd County, IA                         ",   Mar-21  ,"8,171","7,765",406,5
 CN1906900000000 ,19,69," Franklin County, IA                      ",   Mar-21  ,"5,622","5,369",253,4.5
 CN1907100000000 ,19,71," Fremont County, IA                       ",   Mar-21  ,"3,759","3,659",100,2.7
 CN1907300000000 ,19,73," Greene County, IA                        ",   Mar-21  ,"5,326","5,137",189,3.5
 CN1907500000000 ,19,75," Grundy County, IA                        ",   Mar-21  ,"6,377","6,089",288,4.5
 CN1907700000000 ,19,77," Guthrie County, IA                       ",   Mar-21  ,"5,473","5,209",264,4.8
 CN1907900000000 ,19,79," Hamilton County, IA                      ",   Mar-21  ,"6,750","6,436",314,4.7
 CN1908100000000 ,19,81," Hancock County, IA                       ",   Mar-21  ,"5,683","5,451",232,4.1
 CN1908300000000 ,19,83," Hardin County, IA                        ",   Mar-21  ,"7,716","7,335",381,4.9
 CN1908500000000 ,19,85," Harrison County, IA                      ",   Mar-21  ,"7,014","6,711",303,4.3
 CN1908700000000 ,19,87," Henry County, IA                         ",   Mar-21  ,"9,505","9,084",421,4.4
 CN1908900000000 ,19,89," Howard County, IA                        ",   Mar-21  ,"5,133","4,866",267,5.2
 CN1909100000000 ,19,91," Humboldt County, IA                      ",   Mar-21  ,"4,907","4,700",207,4.2
 CN1909300000000 ,19,93," Ida County, IA                           ",   Mar-21  ,"3,986","3,821",165,4.1
 CN1909500000000 ,19,95," Iowa County, IA                          ",   Mar-21  ,"9,976","9,497",479,4.8
 CN1909700000000 ,19,97," Jackson County, IA                       ",   Mar-21  ,"10,519","9,856",663,6.3
 CN1909900000000 ,19,99," Jasper County, IA                        ",   Mar-21  ,"19,027","18,104",923,4.9
 CN1910100000000 ,19,101," Jefferson County, IA                     ",   Mar-21  ,"9,769","9,318",451,4.6
 CN1910300000000 ,19,103," Johnson County, IA                       ",   Mar-21  ,"83,620","80,231","3,389",4.1
 CN1910500000000 ,19,105," Jones County, IA                         ",   Mar-21  ,"10,270","9,689",581,5.7
 CN1910700000000 ,19,107," Keokuk County, IA                        ",   Mar-21  ,"5,213","4,949",264,5.1
 CN1910900000000 ,19,109," Kossuth County, IA                       ",   Mar-21  ,"8,095","7,791",304,3.8
 CN1911100000000 ,19,111," Lee County, IA                           ",   Mar-21  ,"15,374","14,425",949,6.2
 CN1911300000000 ,19,113," Linn County, IA                          ",   Mar-21  ,"118,798","112,064","6,734",5.7
 CN1911500000000 ,19,115," Louisa County, IA                        ",   Mar-21  ,"5,992","5,696",296,4.9
 CN1911700000000 ,19,117," Lucas County, IA                         ",   Mar-21  ,"4,564","4,403",161,3.5
 CN1911900000000 ,19,119," Lyon County, IA                          ",   Mar-21  ,"6,845","6,645",200,2.9
 CN1912100000000 ,19,121," Madison County, IA                       ",   Mar-21  ,"8,447","7,998",449,5.3
 CN1912300000000 ,19,123," Mahaska County, IA                       ",   Mar-21  ,"11,950","11,453",497,4.2
 CN1912500000000 ,19,125," Marion County, IA                        ",   Mar-21  ,"18,199","17,552",647,3.6
 CN1912700000000 ,19,127," Marshall County, IA                      ",   Mar-21  ,"17,670","16,189","1,481",8.4
 CN1912900000000 ,19,129," Mills County, IA                         ",   Mar-21  ,"6,961","6,695",266,3.8
 CN1913100000000 ,19,131," Mitchell County, IA                      ",   Mar-21  ,"5,802","5,583",219,3.8
 CN1913300000000 ,19,133," Monona County, IA                        ",   Mar-21  ,"4,438","4,201",237,5.3
 CN1913500000000 ,19,135," Monroe County, IA                        ",   Mar-21  ,"3,942","3,769",173,4.4
 CN1913700000000 ,19,137," Montgomery County, IA                    ",   Mar-21  ,"4,799","4,592",207,4.3
 CN1913900000000 ,19,139," Muscatine County, IA                     ",   Mar-21  ,"21,033","19,950","1,083",5.1
 CN1914100000000 ,19,141," O'Brien County, IA                       ",   Mar-21  ,"8,115","7,828",287,3.5
 CN1914300000000 ,19,143," Osceola County, IA                       ",   Mar-21  ,"3,504","3,403",101,2.9
 CN1914500000000 ,19,145," Page County, IA                          ",   Mar-21  ,"6,309","6,037",272,4.3
 CN1914700000000 ,19,147," Palo Alto County, IA                     ",   Mar-21  ,"4,472","4,299",173,3.9
 CN1914900000000 ,19,149," Plymouth County, IA                      ",   Mar-21  ,"14,421","13,953",468,3.2
 CN1915100000000 ,19,151," Pocahontas County, IA                    ",   Mar-21  ,"4,148","3,997",151,3.6
 CN1915300000000 ,19,153," Polk County, IA                          ",   Mar-21  ,"265,055","251,812","13,243",5
 CN1915500000000 ,19,155," Pottawattamie County, IA                 ",   Mar-21  ,"46,866","44,632","2,234",4.8
 CN1915700000000 ,19,157," Poweshiek County, IA                     ",   Mar-21  ,"9,783","9,279",504,5.2
 CN1915900000000 ,19,159," Ringgold County, IA                      ",   Mar-21  ,"2,363","2,280",83,3.5
 CN1916100000000 ,19,161," Sac County, IA                           ",   Mar-21  ,"5,205","4,993",212,4.1
 CN1916300000000 ,19,163," Scott County, IA                         ",   Mar-21  ,"86,212","81,185","5,027",5.8
 CN1916500000000 ,19,165," Shelby County, IA                        ",   Mar-21  ,"6,376","6,138",238,3.7
 CN1916700000000 ,19,167," Sioux County, IA                         ",   Mar-21  ,"22,311","21,646",665,3
 CN1916900000000 ,19,169," Story County, IA                         ",   Mar-21  ,"57,771","55,965","1,806",3.1
 CN1917100000000 ,19,171," Tama County, IA                          ",   Mar-21  ,"9,173","8,633",540,5.9
 CN1917300000000 ,19,173," Taylor County, IA                        ",   Mar-21  ,"3,083","2,974",109,3.5
 CN1917500000000 ,19,175," Union County, IA                         ",   Mar-21  ,"6,134","5,818",316,5.2
 CN1917700000000 ,19,177," Van Buren County, IA                     ",   Mar-21  ,"3,594","3,442",152,4.2
 CN1917900000000 ,19,179," Wapello County, IA                       ",   Mar-21  ,"16,979","16,076",903,5.3
 CN1918100000000 ,19,181," Warren County, IA                        ",   Mar-21  ,"28,069","26,838","1,231",4.4
 CN1918300000000 ,19,183," Washington County, IA                    ",   Mar-21  ,"11,440","10,934",506,4.4
 CN1918500000000 ,19,185," Wayne County, IA                         ",   Mar-21  ,"2,832","2,725",107,3.8
 CN1918700000000 ,19,187," Webster County, IA                       ",   Mar-21  ,"18,499","17,570",929,5
 CN1918900000000 ,19,189," Winnebago County, IA                     ",   Mar-21  ,"4,950","4,734",216,4.4
 CN1919100000000 ,19,191," Winneshiek County, IA                    ",   Mar-21  ,"11,410","10,767",643,5.6
 CN1919300000000 ,19,193," Woodbury County, IA                      ",   Mar-21  ,"54,718","52,055","2,663",4.9
 CN1919500000000 ,19,195," Worth County, IA                         ",   Mar-21  ,"4,019","3,822",197,4.9
 CN1919700000000 ,19,197," Wright County, IA                        ",   Mar-21  ,"6,784","6,494",290,4.3
 CN2000100000000 ,20,1," Allen County, KS                         ",   Mar-21  ,"6,511","6,296",215,3.3
 CN2000300000000 ,20,3," Anderson County, KS                      ",   Mar-21  ,"4,533","4,419",114,2.5
 CN2000500000000 ,20,5," Atchison County, KS                      ",   Mar-21  ,"6,607","6,335",272,4.1
 CN2000700000000 ,20,7," Barber County, KS                        ",   Mar-21  ,"2,262","2,215",47,2.1
 CN2000900000000 ,20,9," Barton County, KS                        ",   Mar-21  ,"13,247","12,823",424,3.2
 CN2001100000000 ,20,11," Bourbon County, KS                       ",   Mar-21  ,"6,563","6,292",271,4.1
 CN2001300000000 ,20,13," Brown County, KS                         ",   Mar-21  ,"5,067","4,931",136,2.7
 CN2001500000000 ,20,15," Butler County, KS                        ",   Mar-21  ,"32,313","31,054","1,259",3.9
 CN2001700000000 ,20,17," Chase County, KS                         ",   Mar-21  ,"1,350","1,310",40,3
 CN2001900000000 ,20,19," Chautauqua County, KS                    ",   Mar-21  ,"1,465","1,398",67,4.6
 CN2002100000000 ,20,21," Cherokee County, KS                      ",   Mar-21  ,"9,830","9,512",318,3.2
 CN2002300000000 ,20,23," Cheyenne County, KS                      ",   Mar-21  ,"1,258","1,237",21,1.7
 CN2002500000000 ,20,25," Clark County, KS                         ",   Mar-21  ,"1,103","1,081",22,2
 CN2002700000000 ,20,27," Clay County, KS                          ",   Mar-21  ,"3,708","3,604",104,2.8
 CN2002900000000 ,20,29," Cloud County, KS                         ",   Mar-21  ,"3,808","3,694",114,3
 CN2003100000000 ,20,31," Coffey County, KS                        ",   Mar-21  ,"4,229","4,105",124,2.9
 CN2003300000000 ,20,33," Comanche County, KS                      ",   Mar-21  ,872,855,17,1.9
 CN2003500000000 ,20,35," Cowley County, KS                        ",   Mar-21  ,"16,790","16,175",615,3.7
 CN2003700000000 ,20,37," Crawford County, KS                      ",   Mar-21  ,"18,919","18,280",639,3.4
 CN2003900000000 ,20,39," Decatur County, KS                       ",   Mar-21  ,"1,160","1,134",26,2.2
 CN2004100000000 ,20,41," Dickinson County, KS                     ",   Mar-21  ,"8,913","8,616",297,3.3
 CN2004300000000 ,20,43," Doniphan County, KS                      ",   Mar-21  ,"4,076","3,955",121,3
 CN2004500000000 ,20,45," Douglas County, KS                       ",   Mar-21  ,"64,237","62,049","2,188",3.4
 CN2004700000000 ,20,47," Edwards County, KS                       ",   Mar-21  ,"1,418","1,386",32,2.3
 CN2004900000000 ,20,49," Elk County, KS                           ",   Mar-21  ,"1,171","1,131",40,3.4
 CN2005100000000 ,20,51," Ellis County, KS                         ",   Mar-21  ,"17,170","16,812",358,2.1
 CN2005300000000 ,20,53," Ellsworth County, KS                     ",   Mar-21  ,"2,689","2,620",69,2.6
 CN2005500000000 ,20,55," Finney County, KS                        ",   Mar-21  ,"20,349","19,919",430,2.1
 CN2005700000000 ,20,57," Ford County, KS                          ",   Mar-21  ,"17,774","17,377",397,2.2
 CN2005900000000 ,20,59," Franklin County, KS                      ",   Mar-21  ,"14,388","13,894",494,3.4
 CN2006100000000 ,20,61," Geary County, KS                         ",   Mar-21  ,"11,465","10,937",528,4.6
 CN2006300000000 ,20,63," Gove County, KS                          ",   Mar-21  ,"1,399","1,371",28,2
 CN2006500000000 ,20,65," Graham County, KS                        ",   Mar-21  ,"1,101","1,067",34,3.1
 CN2006700000000 ,20,67," Grant County, KS                         ",   Mar-21  ,"2,911","2,819",92,3.2
 CN2006900000000 ,20,69," Gray County, KS                          ",   Mar-21  ,"3,133","3,077",56,1.8
 CN2007100000000 ,20,71," Greeley County, KS                       ",   Mar-21  ,800,788,12,1.5
 CN2007300000000 ,20,73," Greenwood County, KS                     ",   Mar-21  ,"2,958","2,866",92,3.1
 CN2007500000000 ,20,75," Hamilton County, KS                      ",   Mar-21  ,"1,552","1,530",22,1.4
 CN2007700000000 ,20,77," Harper County, KS                        ",   Mar-21  ,"2,802","2,724",78,2.8
 CN2007900000000 ,20,79," Harvey County, KS                        ",   Mar-21  ,"16,798","16,270",528,3.1
 CN2008100000000 ,20,81," Haskell County, KS                       ",   Mar-21  ,"2,155","2,113",42,1.9
 CN2008300000000 ,20,83," Hodgeman County, KS                      ",   Mar-21  ,992,971,21,2.1
 CN2008500000000 ,20,85," Jackson County, KS                       ",   Mar-21  ,"7,235","7,039",196,2.7
 CN2008700000000 ,20,87," Jefferson County, KS                     ",   Mar-21  ,"10,332","10,010",322,3.1
 CN2008900000000 ,20,89," Jewell County, KS                        ",   Mar-21  ,"1,210","1,182",28,2.3
 CN2009100000000 ,20,91," Johnson County, KS                       ",   Mar-21  ,"341,330","331,474","9,856",2.9
 CN2009300000000 ,20,93," Kearny County, KS                        ",   Mar-21  ,"1,982","1,949",33,1.7
 CN2009500000000 ,20,95," Kingman County, KS                       ",   Mar-21  ,"3,215","3,100",115,3.6
 CN2009700000000 ,20,97," Kiowa County, KS                         ",   Mar-21  ,"1,179","1,156",23,2
 CN2009900000000 ,20,99," Labette County, KS                       ",   Mar-21  ,"9,382","9,044",338,3.6
 CN2010100000000 ,20,101," Lane County, KS                          ",   Mar-21  ,696,681,15,2.2
 CN2010300000000 ,20,103," Leavenworth County, KS                   ",   Mar-21  ,"36,540","35,215","1,325",3.6
 CN2010500000000 ,20,105," Lincoln County, KS                       ",   Mar-21  ,"1,667","1,628",39,2.3
 CN2010700000000 ,20,107," Linn County, KS                          ",   Mar-21  ,"4,289","4,085",204,4.8
 CN2010900000000 ,20,109," Logan County, KS                         ",   Mar-21  ,"1,645","1,619",26,1.6
 CN2011100000000 ,20,111," Lyon County, KS                          ",   Mar-21  ,"16,754","16,216",538,3.2
 CN2011300000000 ,20,113," McPherson County, KS                     ",   Mar-21  ,"17,097","16,716",381,2.2
 CN2011500000000 ,20,115," Marion County, KS                        ",   Mar-21  ,"5,913","5,766",147,2.5
 CN2011700000000 ,20,117," Marshall County, KS                      ",   Mar-21  ,"5,370","5,261",109,2
 CN2011900000000 ,20,119," Meade County, KS                         ",   Mar-21  ,"2,141","2,088",53,2.5
 CN2012100000000 ,20,121," Miami County, KS                         ",   Mar-21  ,"17,625","17,041",584,3.3
 CN2012300000000 ,20,123," Mitchell County, KS                      ",   Mar-21  ,"3,344","3,277",67,2
 CN2012500000000 ,20,125," Montgomery County, KS                    ",   Mar-21  ,"14,746","14,135",611,4.1
 CN2012700000000 ,20,127," Morris County, KS                        ",   Mar-21  ,"3,077","3,000",77,2.5
 CN2012900000000 ,20,129," Morton County, KS                        ",   Mar-21  ,"1,132","1,105",27,2.4
 CN2013100000000 ,20,131," Nemaha County, KS                        ",   Mar-21  ,"5,428","5,326",102,1.9
 CN2013300000000 ,20,133," Neosho County, KS                        ",   Mar-21  ,"6,056","5,785",271,4.5
 CN2013500000000 ,20,135," Ness County, KS                          ",   Mar-21  ,"1,239","1,211",28,2.3
 CN2013700000000 ,20,137," Norton County, KS                        ",   Mar-21  ,"2,602","2,554",48,1.8
 CN2013900000000 ,20,139," Osage County, KS                         ",   Mar-21  ,"8,015","7,759",256,3.2
 CN2014100000000 ,20,141," Osborne County, KS                       ",   Mar-21  ,"1,919","1,883",36,1.9
 CN2014300000000 ,20,143," Ottawa County, KS                        ",   Mar-21  ,"2,897","2,815",82,2.8
 CN2014500000000 ,20,145," Pawnee County, KS                        ",   Mar-21  ,"2,769","2,703",66,2.4
 CN2014700000000 ,20,147," Phillips County, KS                      ",   Mar-21  ,"2,575","2,522",53,2.1
 CN2014900000000 ,20,149," Pottawatomie County, KS                  ",   Mar-21  ,"12,254","11,932",322,2.6
 CN2015100000000 ,20,151," Pratt County, KS                         ",   Mar-21  ,"4,846","4,732",114,2.4
 CN2015300000000 ,20,153," Rawlins County, KS                       ",   Mar-21  ,"1,600","1,575",25,1.6
 CN2015500000000 ,20,155," Reno County, KS                          ",   Mar-21  ,"29,713","28,710","1,003",3.4
 CN2015700000000 ,20,157," Republic County, KS                      ",   Mar-21  ,"2,239","2,180",59,2.6
 CN2015900000000 ,20,159," Rice County, KS                          ",   Mar-21  ,"5,022","4,890",132,2.6
 CN2016100000000 ,20,161," Riley County, KS                         ",   Mar-21  ,"33,843","32,855",988,2.9
 CN2016300000000 ,20,163," Rooks County, KS                         ",   Mar-21  ,"2,413","2,350",63,2.6
 CN2016500000000 ,20,165," Rush County, KS                          ",   Mar-21  ,"1,551","1,512",39,2.5
 CN2016700000000 ,20,167," Russell County, KS                       ",   Mar-21  ,"3,244","3,163",81,2.5
 CN2016900000000 ,20,169," Saline County, KS                        ",   Mar-21  ,"29,217","28,295",922,3.2
 CN2017100000000 ,20,171," Scott County, KS                         ",   Mar-21  ,"2,762","2,715",47,1.7
 CN2017300000000 ,20,173," Sedgwick County, KS                      ",   Mar-21  ,"254,742","241,876","12,866",5.1
 CN2017500000000 ,20,175," Seward County, KS                        ",   Mar-21  ,"10,179","9,882",297,2.9
 CN2017700000000 ,20,177," Shawnee County, KS                       ",   Mar-21  ,"91,623","88,647","2,976",3.2
 CN2017900000000 ,20,179," Sheridan County, KS                      ",   Mar-21  ,"1,401","1,374",27,1.9
 CN2018100000000 ,20,181," Sherman County, KS                       ",   Mar-21  ,"2,797","2,722",75,2.7
 CN2018300000000 ,20,183," Smith County, KS                         ",   Mar-21  ,"1,948","1,911",37,1.9
 CN2018500000000 ,20,185," Stafford County, KS                      ",   Mar-21  ,"1,924","1,876",48,2.5
 CN2018700000000 ,20,187," Stanton County, KS                       ",   Mar-21  ,"1,031","1,006",25,2.4
 CN2018900000000 ,20,189," Stevens County, KS                       ",   Mar-21  ,"2,748","2,688",60,2.2
 CN2019100000000 ,20,191," Sumner County, KS                        ",   Mar-21  ,"10,654","10,149",505,4.7
 CN2019300000000 ,20,193," Thomas County, KS                        ",   Mar-21  ,"4,196","4,115",81,1.9
 CN2019500000000 ,20,195," Trego County, KS                         ",   Mar-21  ,"1,347","1,319",28,2.1
 CN2019700000000 ,20,197," Wabaunsee County, KS                     ",   Mar-21  ,"3,671","3,572",99,2.7
 CN2019900000000 ,20,199," Wallace County, KS                       ",   Mar-21  ,846,833,13,1.5
 CN2020100000000 ,20,201," Washington County, KS                    ",   Mar-21  ,"3,004","2,956",48,1.6
 CN2020300000000 ,20,203," Wichita County, KS                       ",   Mar-21  ,"1,119","1,096",23,2.1
 CN2020500000000 ,20,205," Wilson County, KS                        ",   Mar-21  ,"3,846","3,680",166,4.3
 CN2020700000000 ,20,207," Woodson County, KS                       ",   Mar-21  ,"1,511","1,448",63,4.2
 CN2020900000000 ,20,209," Wyandotte County, KS                     ",   Mar-21  ,"77,000","73,069","3,931",5.1
 CN2100100000000 ,21,1," Adair County, KY                         ",   Mar-21  ,"7,328","6,922",406,5.5
 CN2100300000000 ,21,3," Allen County, KY                         ",   Mar-21  ,"8,780","8,401",379,4.3
 CN2100500000000 ,21,5," Anderson County, KY                      ",   Mar-21  ,"11,922","11,392",530,4.4
 CN2100700000000 ,21,7," Ballard County, KY                       ",   Mar-21  ,"3,403","3,219",184,5.4
 CN2100900000000 ,21,9," Barren County, KY                        ",   Mar-21  ,"18,080","16,996","1,084",6
 CN2101100000000 ,21,11," Bath County, KY                          ",   Mar-21  ,"4,587","4,287",300,6.5
 CN2101300000000 ,21,13," Bell County, KY                          ",   Mar-21  ,"8,352","7,847",505,6
 CN2101500000000 ,21,15," Boone County, KY                         ",   Mar-21  ,"70,674","67,688","2,986",4.2
 CN2101700000000 ,21,17," Bourbon County, KY                       ",   Mar-21  ,"9,326","8,906",420,4.5
 CN2101900000000 ,21,19," Boyd County, KY                          ",   Mar-21  ,"17,347","16,160","1,187",6.8
 CN2102100000000 ,21,21," Boyle County, KY                         ",   Mar-21  ,"12,733","12,012",721,5.7
 CN2102300000000 ,21,23," Bracken County, KY                       ",   Mar-21  ,"3,767","3,550",217,5.8
 CN2102500000000 ,21,25," Breathitt County, KY                     ",   Mar-21  ,"3,297","3,007",290,8.8
 CN2102700000000 ,21,27," Breckinridge County, KY                  ",   Mar-21  ,"7,922","7,472",450,5.7
 CN2102900000000 ,21,29," Bullitt County, KY                       ",   Mar-21  ,"42,201","40,370","1,831",4.3
 CN2103100000000 ,21,31," Butler County, KY                        ",   Mar-21  ,"5,001","4,752",249,5
 CN2103300000000 ,21,33," Caldwell County, KY                      ",   Mar-21  ,"5,876","5,593",283,4.8
 CN2103500000000 ,21,35," Calloway County, KY                      ",   Mar-21  ,"17,674","16,764",910,5.1
 CN2103700000000 ,21,37," Campbell County, KY                      ",   Mar-21  ,"49,799","47,600","2,199",4.4
 CN2103900000000 ,21,39," Carlisle County, KY                      ",   Mar-21  ,"2,203","2,109",94,4.3
 CN2104100000000 ,21,41," Carroll County, KY                       ",   Mar-21  ,"5,250","4,995",255,4.9
 CN2104300000000 ,21,43," Carter County, KY                        ",   Mar-21  ,"9,566","8,728",838,8.8
 CN2104500000000 ,21,45," Casey County, KY                         ",   Mar-21  ,"6,721","6,405",316,4.7
 CN2104700000000 ,21,47," Christian County, KY                     ",   Mar-21  ,"24,585","23,081","1,504",6.1
 CN2104900000000 ,21,49," Clark County, KY                         ",   Mar-21  ,"16,895","16,058",837,5
 CN2105100000000 ,21,51," Clay County, KY                          ",   Mar-21  ,"5,212","4,816",396,7.6
 CN2105300000000 ,21,53," Clinton County, KY                       ",   Mar-21  ,"3,984","3,795",189,4.7
 CN2105500000000 ,21,55," Crittenden County, KY                    ",   Mar-21  ,"3,810","3,625",185,4.9
 CN2105700000000 ,21,57," Cumberland County, KY                    ",   Mar-21  ,"3,214","3,077",137,4.3
 CN2105900000000 ,21,59," Daviess County, KY                       ",   Mar-21  ,"46,169","43,896","2,273",4.9
 CN2106100000000 ,21,61," Edmonson County, KY                      ",   Mar-21  ,"4,645","4,393",252,5.4
 CN2106300000000 ,21,63," Elliott County, KY                       ",   Mar-21  ,"1,907","1,740",167,8.8
 CN2106500000000 ,21,65," Estill County, KY                        ",   Mar-21  ,"5,117","4,813",304,5.9
 CN2106700000000 ,21,67," Fayette County, KY                       ",   Mar-21  ,"171,149","163,463","7,686",4.5
 CN2106900000000 ,21,69," Fleming County, KY                       ",   Mar-21  ,"6,112","5,789",323,5.3
 CN2107100000000 ,21,71," Floyd County, KY                         ",   Mar-21  ,"10,777","9,964",813,7.5
 CN2107300000000 ,21,73," Franklin County, KY                      ",   Mar-21  ,"25,142","23,869","1,273",5.1
 CN2107500000000 ,21,75," Fulton County, KY                        ",   Mar-21  ,"2,047","1,931",116,5.7
 CN2107700000000 ,21,77," Gallatin County, KY                      ",   Mar-21  ,"3,943","3,751",192,4.9
 CN2107900000000 ,21,79," Garrard County, KY                       ",   Mar-21  ,"7,554","7,177",377,5
 CN2108100000000 ,21,81," Grant County, KY                         ",   Mar-21  ,"11,533","10,947",586,5.1
 CN2108300000000 ,21,83," Graves County, KY                        ",   Mar-21  ,"15,859","15,070",789,5
 CN2108500000000 ,21,85," Grayson County, KY                       ",   Mar-21  ,"10,480","9,817",663,6.3
 CN2108700000000 ,21,87," Green County, KY                         ",   Mar-21  ,"5,102","4,893",209,4.1
 CN2108900000000 ,21,89," Greenup County, KY                       ",   Mar-21  ,"13,038","12,063",975,7.5
 CN2109100000000 ,21,91," Hancock County, KY                       ",   Mar-21  ,"3,820","3,640",180,4.7
 CN2109300000000 ,21,93," Hardin County, KY                        ",   Mar-21  ,"47,003","44,654","2,349",5
 CN2109500000000 ,21,95," Harlan County, KY                        ",   Mar-21  ,"6,465","5,860",605,9.4
 CN2109700000000 ,21,97," Harrison County, KY                      ",   Mar-21  ,"8,662","8,285",377,4.4
 CN2109900000000 ,21,99," Hart County, KY                          ",   Mar-21  ,"7,712","7,353",359,4.7
 CN2110100000000 ,21,101," Henderson County, KY                     ",   Mar-21  ,"20,604","19,605",999,4.8
 CN2110300000000 ,21,103," Henry County, KY                         ",   Mar-21  ,"8,052","7,707",345,4.3
 CN2110500000000 ,21,105," Hickman County, KY                       ",   Mar-21  ,"1,700","1,616",84,4.9
 CN2110700000000 ,21,107," Hopkins County, KY                       ",   Mar-21  ,"17,996","17,011",985,5.5
 CN2110900000000 ,21,109," Jackson County, KY                       ",   Mar-21  ,"4,071","3,794",277,6.8
 CN2111100000000 ,21,111," Jefferson County, KY                     ",   Mar-21  ,"392,360","372,180","20,180",5.1
 CN2111300000000 ,21,113," Jessamine County, KY                     ",   Mar-21  ,"26,050","24,850","1,200",4.6
 CN2111500000000 ,21,115," Johnson County, KY                       ",   Mar-21  ,"6,664","6,126",538,8.1
 CN2111700000000 ,21,117," Kenton County, KY                        ",   Mar-21  ,"86,258","82,197","4,061",4.7
 CN2111900000000 ,21,119," Knott County, KY                         ",   Mar-21  ,"4,238","3,909",329,7.8
 CN2112100000000 ,21,121," Knox County, KY                          ",   Mar-21  ,"10,153","9,458",695,6.8
 CN2112300000000 ,21,123," Larue County, KY                         ",   Mar-21  ,"5,835","5,540",295,5.1
 CN2112500000000 ,21,125," Laurel County, KY                        ",   Mar-21  ,"25,452","24,202","1,250",4.9
 CN2112700000000 ,21,127," Lawrence County, KY                      ",   Mar-21  ,"5,269","4,890",379,7.2
 CN2112900000000 ,21,129," Lee County, KY                           ",   Mar-21  ,"2,047","1,926",121,5.9
 CN2113100000000 ,21,131," Leslie County, KY                        ",   Mar-21  ,"2,530","2,304",226,8.9
 CN2113300000000 ,21,133," Letcher County, KY                       ",   Mar-21  ,"6,042","5,563",479,7.9
 CN2113500000000 ,21,135," Lewis County, KY                         ",   Mar-21  ,"4,720","4,323",397,8.4
 CN2113700000000 ,21,137," Lincoln County, KY                       ",   Mar-21  ,"9,305","8,723",582,6.3
 CN2113900000000 ,21,139," Livingston County, KY                    ",   Mar-21  ,"3,595","3,339",256,7.1
 CN2114100000000 ,21,141," Logan County, KY                         ",   Mar-21  ,"12,203","11,712",491,4
 CN2114300000000 ,21,143," Lyon County, KY                          ",   Mar-21  ,"3,065","2,902",163,5.3
 CN2114500000000 ,21,145," McCracken County, KY                     ",   Mar-21  ,"29,427","27,775","1,652",5.6
 CN2114700000000 ,21,147," McCreary County, KY                      ",   Mar-21  ,"4,992","4,673",319,6.4
 CN2114900000000 ,21,149," McLean County, KY                        ",   Mar-21  ,"3,951","3,779",172,4.4
